🚨 Jamalpur -- 2027-12-15 (climatology): HIGH risk (low rainfall / drought risk). Recommended crop: Mustard. avg_precip_7d=3.5mm, avg_temp_7d=18.7C  [NASA POWER real years averaged: 2020,2021,2022,2023,2024,2025]
🚨 Netrokona -- 2027-12-15 (climatology): HIGH risk (low rainfall / drought risk). Recommended crop: Mustard. avg_precip_7d=3.9mm, avg_temp_7d=18.7C  [NASA POWER real years averaged: 2020,2021,2022,2023,2024,2025]
🚨 Sherpur -- 2027-12-15 (climatology): HIGH risk (low rainfall / drought risk). Recommended crop: Mustard. avg_precip_7d=3.5mm, avg_temp_7d=18.7C  [NASA POWER real years averaged: 2020,2021,2022,2023,2024,2025]
🚨 Rajshahi -- 2027-12-15 (climatology): HIGH risk (low rainfall / drought risk). Recommended crop: Mustard. avg_precip_7d=3.8mm, avg_temp_7d=17.7C  [NASA POWER real years averaged: 2020,2021,2022,2023,2024,2025]
🚨 Bogura -- 2027-12-15 (climatology): HIGH risk (low rainfall / drought risk). Recommended crop: Mustard. avg_precip_7d=2.8mm, avg_temp_7d=18.3C  [NASA POWER real years averaged: 2020,2021,2022,2023,2024,2025]
🚨 Joypurhat -- 2027-12-15 (climatology): HIGH risk (low rainfall / drought risk). Recommended crop: Mustard. avg_precip_7d=2.1mm, avg_temp_7d=17.5C  [NASA POWER real years averaged: 2020,2021,2022,2023,2024,2025]
🚨 Naogaon -- 2027-12-15 (climatology): HIGH risk (low rainfall / drought risk). Recommended crop: Mustard. avg_precip_7d=2.1mm, avg_temp_7d=17.5C  [NASA POWER real years averaged: 2020,2021,2022,2023,2024,2025]
🚨 Natore -- 2027-12-15 (climatology): HIGH risk (low rainfall / drought risk). Recommended crop: Mustard. avg_precip_7d=3.8mm, avg_temp_7d=17.7C  [NASA POWER real years averaged: 2020,2021,2022,2023,2024,2025]
🚨 Chapainawabganj -- 2027-12-15 (climatology): HIGH risk (low rainfall / drought risk). Recommended crop: Mustard. avg_precip_7d=2.6mm, avg_temp_7d=17.6C  [NASA POWER real years averaged: 2020,2021,2022,2023,2024,2025]
🚨 Sylhet -- 2027-12-15 (climatology): HIGH risk (low rainfall / drought risk). Recommended crop: Mustard. avg_precip_7d=4.0mm, avg_temp_7d=18.9C  [NASA POWER real years averaged: 2020,2021,2022,2023,2024,2025]
🚨 Sunamganj -- 2027-12-15 (climatology): HIGH risk (low rainfall / drought risk). Recommended crop: Mustard. avg_precip_7d=4.1mm, avg_temp_7d=19.1C  [NASA POWER real years averaged: 2020,2021,2022,2023,2024,2025]
🚨 Rangpur -- 2027-12-15 (climatology): HIGH risk (low rainfall / drought risk). Recommended crop: Mustard. avg_precip_7d=1.5mm, avg_temp_7d=18.3C  [NASA POWER real years averaged: 2020,2021,2022,2023,2024,2025]
🚨 Dinajpur -- 2027-12-15 (climatology): HIGH risk (low rainfall / drought risk). Recommended crop: Mustard. avg_precip_7d=1.1mm, avg_temp_7d=17.5C  [NASA POWER real years averaged: 2020,2021,2022,2023,2024,2025]
🚨 Gaibandha -- 2027-12-15 (climatology): HIGH risk (low rainfall / drought risk). Recommended crop: Mustard. avg_precip_7d=1.5mm, avg_temp_7d=18.3C  [NASA POWER real years averaged: 2020,2021,2022,2023,2024,2025]
🚨 Kurigram -- 2027-12-15 (climatology): HIGH risk (low rainfall / drought risk). Recommended crop: Mustard. avg_precip_7d=0.7mm, avg_temp_7d=18.2C  [NASA POWER real years averaged: 2020,2021,2022,2023,2024,2025]
🚨 Lalmonirhat -- 2027-12-15 (climatology): HIGH risk (low rainfall / drought risk). Recommended crop: Mustard. avg_precip_7d=0.7mm, avg_temp_7d=18.2C  [NASA POWER real years averaged: 2020,2021,2022,2023,2024,2025]
🚨 Nilphamari -- 2027-12-15 (climatology): HIGH risk (low rainfall / drought risk). Recommended crop: Mustard. avg_precip_7d=0.6mm, avg_temp_7d=17.6C  [NASA POWER real years averaged: 2020,2021,2022,2023,2024,2025]
🚨 Panchagarh -- 2027-12-15 (climatology): HIGH risk (low rainfall / drought risk). Recommended crop: Mustard. avg_precip_7d=0.5mm, avg_temp_7d=18.3C  [NASA POWER real years averaged: 2020,2021,2022,2023,2024,2025]
🚨 Thakurgaon -- 2027-12-15 (climatology): HIGH risk (low rainfall / drought risk). Recommended crop: Mustard. avg_precip_7d=0.6mm, avg_temp_7d=17.6C  [NASA POWER real years averaged: 2020,2021,2022,2023,2024,2025]
