district,date,risk,risk_confidence,best_crop,precipitation,temperature,precip_7d,temp_7d_avg
Dhaka,20260601,low,0.972,Jute,0.32,29.64,140.06,28.52
Faridpur,20260601,low,0.927,Jute,0.0,29.15,124.58,28.66
Pabna,20260601,low,0.936,Jute,0.0,29.63,133.42,28.64
Sirajganj,20260601,low,0.962,Jute,0.15,29.71,160.55,28.39
Khulna,20260601,low,0.942,Aman Rice,0.0,29.45,82.53,29.0
Bagerhat,20260601,low,0.95,Jute,0.09,28.83,86.14,28.95
Chuadanga,20260601,low,0.904,Aman Rice,0.0,30.53,72.6,29.54
Jashore,20260601,low,0.938,Aman Rice,0.0,29.45,82.53,29.0
Jhenaidah,20260601,low,0.933,Jute,0.0,29.47,106.83,28.78
Kushtia,20260601,low,0.936,Jute,0.0,29.63,133.42,28.64
Magura,20260601,low,0.933,Jute,0.0,29.47,106.83,28.78
Meherpur,20260601,low,0.917,Jute,0.0,30.34,89.73,29.18
Narail,20260601,low,0.938,Aman Rice,0.0,29.45,82.53,29.0
Satkhira,20260601,low,0.946,Aman Rice,0.0,29.44,65.65,29.27
Barishal,20260601,low,0.969,Jute,0.61,28.78,103.27,28.9
Barguna,20260601,low,0.972,Aman Rice,0.96,28.99,75.81,29.18
Bhola,20260601,low,0.969,Jute,0.61,28.78,103.27,28.9
Jhalokati,20260601,low,0.949,Jute,0.09,28.83,86.14,28.95
Patuakhali,20260601,low,0.969,Jute,0.61,28.78,103.27,28.9
Pirojpur,20260601,low,0.95,Jute,0.09,28.83,86.14,28.95
Sylhet,20260601,low,0.985,Jute,5.04,28.86,112.16,27.99
Habiganj,20260601,low,0.983,Jute,1.97,29.64,137.68,28.37
Moulvibazar,20260601,low,0.985,Jute,1.99,29.24,137.24,28.42
Sunamganj,20260601,low,0.988,Jute,4.92,29.2,114.75,28.02
Rangpur,20260601,low,0.937,Aman Rice,0.0,29.86,74.84,28.4
Dinajpur,20260601,low,0.947,Aman Rice,0.01,29.57,68.35,28.24
Gaibandha,20260601,low,0.937,Aman Rice,0.0,29.86,74.84,28.4
Kurigram,20260601,low,0.961,Aman Rice,0.43,29.54,49.05,28.35
Lalmonirhat,20260601,low,0.961,Aman Rice,0.43,29.54,49.05,28.35
Nilphamari,20260601,low,0.968,Aman Rice,0.77,29.44,56.75,28.15
Panchagarh,20260601,low,0.987,Maize,3.01,28.9,47.35,27.53
Chapainawabganj,20260601,low,0.851,Aman Rice,0.0,31.73,71.71,29.97
Natore,20260601,low,0.926,Jute,0.0,30.08,96.94,28.83
Naogaon,20260601,low,0.941,Aman Rice,0.0,29.82,86.15,28.51
Netrokona,20260601,low,0.989,Jute,1.44,29.2,120.79,27.82
Gazipur,20260601,low,0.972,Jute,0.32,29.64,140.06,28.52
Gopalganj,20260601,low,0.926,Jute,0.0,28.94,101.79,28.76
Kishoreganj,20260601,low,0.985,Jute,1.0,29.57,150.79,28.23
Madaripur,20260601,low,0.932,Jute,0.0,28.94,101.79,28.76
Manikganj,20260601,low,0.956,Jute,0.03,29.46,153.77,28.48
Munshiganj,20260601,low,0.97,Jute,0.2,29.2,123.16,28.66
Narayanganj,20260601,low,0.97,Jute,0.2,29.2,123.16,28.66
Narsingdi,20260601,low,0.972,Jute,0.32,29.64,140.06,28.52
Rajbari,20260601,low,0.936,Jute,0.0,29.63,133.42,28.64
Shariatpur,20260601,low,0.969,Jute,0.29,28.86,113.37,28.76
Tangail,20260601,low,0.962,Jute,0.15,29.71,160.55,28.39
Mymensingh,20260601,low,0.985,Jute,1.0,29.57,150.79,28.23
Jamalpur,20260601,low,0.967,Jute,0.21,29.59,124.62,28.11
Sherpur,20260601,low,0.968,Jute,0.21,29.59,124.62,28.11
Joypurhat,20260601,low,0.938,Aman Rice,0.0,29.82,86.15,28.51
Chattogram,20260601,low,0.989,Jute,3.75,28.74,114.25,28.53
Cox's Bazar,20260601,low,0.96,Jute,2.08,28.95,119.69,29.02
Cumilla,20260601,low,0.983,Jute,1.23,28.89,122.84,28.26
Brahmanbaria,20260601,low,0.973,Jute,0.75,29.39,123.33,28.42
Chandpur,20260601,low,0.969,Jute,0.29,28.86,113.37,28.76
Feni,20260601,low,0.983,Jute,2.62,28.81,130.72,28.45
Khagrachhari,20260601,low,0.99,Jute,3.6,28.83,134.71,28.33
Lakshmipur,20260601,low,0.962,Jute,0.29,28.86,113.37,28.76
Noakhali,20260601,low,0.985,Jute,2.62,28.81,130.72,28.45
Rangamati,20260601,low,0.998,Jute,10.43,27.1,128.24,27.0
Bandarban,20260601,low,0.99,Jute,5.6,26.76,111.13,26.62
Rajshahi,20260601,low,0.926,Jute,0.0,30.08,96.94,28.83
Bogura,20260601,low,0.94,Jute,0.0,29.94,112.42,28.45
Thakurgaon,20260601,low,0.965,Aman Rice,0.77,29.44,56.75,28.15
